Species,GrowthForm,amax,wd,sla,MAP,MAT,Reference,Biome,Long,Lat,Note
bonamia trichantha,Liana,23.6,NA,15.38,1800,27,Avalos et al. 2007,Tropical rainforest,-79.55,8.98333333,Sun condition
bonamia trichantha,Liana,7.2,NA,17.54,1800,27,Avalos et al. 2007,Tropical rainforest,-79.55,8.98333333,Shade condition
combretum fruticosum,Liana,26.5,,,1800,27,Avalos et al. 2007,Tropical rainforest,-79.55,8.98333333,Sun condition
combretum fruticosum,Liana,,0.54,14.71,1800,27,De Guzman et al. 2016,Tropical rainforest,-79.55,8.98333333,Sun condition
combretum fruticosum,Liana,8.6,,,1800,27,Avalos et al. 2007,Tropical rainforest,-79.55,8.98333333,Shade condition
combretum fruticosum,Liana,,0.54,23.26,1800,27,De Guzman et al. 2016,Tropical rainforest,-79.55,8.98333333,Shade condition
brosimum utile,Tree,6.72,0.52,NA,3020,26.2,Brenes-Arguedas et al. 2013,Tropical rainforest,-79.96666667,9.28333333,
chrysophyllum cainito,Tree,6.86,0.78,NA,2010,26.7,Brenes-Arguedas et al. 2013,Tropical seasonal forest,-79.58333333,9.01388889,
cnestidium rufescens,Liana,5.85,0.77,NA,2010,26.7,Brenes-Arguedas et al. 2013,Tropical seasonal forest,-79.58333333,9.01388889,
cojoba rufescens,Tree,7.29,0.74,NA,3020,26.2,Brenes-Arguedas et al. 2013,Tropical rainforest,-79.96666667,9.28333333,
connarus panamensis,Liana,6.84,0.7,NA,2010,26.7,Brenes-Arguedas et al. 2013,Tropical seasonal forest,-79.58333333,9.01388889,
hymenaea courbaril,Tree,5.19,0.68,NA,3020,26.2,Brenes-Arguedas et al. 2013,Tropical rainforest,-79.96666667,9.28333333,
inga marginata,Tree,10.31,0.52,NA,3020,26.2,Brenes-Arguedas et al. 2013,Tropical rainforest,-79.96666667,9.28333333,
inga multijuga,Tree,6.59,0.51,NA,3020,26.2,Brenes-Arguedas et al. 2013,Tropical rainforest,-79.96666667,9.28333333,
lacmellea panamensis,Tree,5.86,0.52,NA,3020,26.2,Brenes-Arguedas et al. 2013,Tropical rainforest,-79.96666667,9.28333333,
licania hypoleuca,Tree,5.5,0.71,NA,3020,26.2,Brenes-Arguedas et al. 2013,Tropical rainforest,-79.96666667,9.28333333,
machaerium microphyllum,Liana,9.45,0.68,NA,3020,26.2,Brenes-Arguedas et al. 2013,Tropical rainforest,-79.96666667,9.28333333,
manilkara bidentata,Tree,4.22,0.68,NA,3020,26.2,Brenes-Arguedas et al. 2013,Tropical rainforest,-79.96666667,9.28333333,
ormosia macrocalyx,Tree,8.41,0.5,NA,3020,26.2,Brenes-Arguedas et al. 2013,Tropical rainforest,-79.96666667,9.28333333,
oxandra panamensis,Tree,3.86,0.45,NA,3020,26.2,Brenes-Arguedas et al. 2013,Tropical rainforest,-79.96666667,9.28333333,
peritassa pruinosa,Liana,4.01,0.66,NA,2010,26.7,Brenes-Arguedas et al. 2013,Tropical seasonal forest,-79.58333333,9.01388889,
pouteria reticulate,Tree,4.51,0.61,NA,3020,26.2,Brenes-Arguedas et al. 2013,Tropical rainforest,-79.96666667,9.28333333,
pterocarpus rohrii,Tree,3.56,0.47,10.47128548,3020,26.2,Brenes-Arguedas et al. 2013,Tropical rainforest,-79.96666667,9.28333333,
tocoyena pittieri,Tree,4.34,0.61,NA,3020,26.2,Brenes-Arguedas et al. 2013,Tropical rainforest,-79.96666667,9.28333333,
kielmeyera coriacea,Tree,11.5,0.455,7.38,1500,21,Bucci et al. 2004,Tropical seasonal forest,-47.88333333,-15.93333333,
ouratea hexasperma,Tree,9.7,0.46,7.64,1500,21,Bucci et al. 2006,Tropical seasonal forest,-47.88333333,-15.93333333,
qualea parviflora,Tree,10.4,0.48,6,1500,21,Bucci et al. 2006,Tropical seasonal forest,-47.88333333,-15.93333333,
schefflera macrocarpa,Tree,16.3,0.56,3.76,1500,21,Bucci et al. 2006,Tropical seasonal forest,-47.88333333,-15.93333333,
baccaurea ramiflora,Tree,9.87,NA,11.35,1550,21.4,Cai et al. 2009,Tropical rainforest,101.7666667,21.9,
barringtonia macrostachya,Tree,10.56,NA,7.75,1550,21.4,Cai et al. 2009,Tropical rainforest,101.7666667,21.9,
bauhinia glauca,Liana,6.62,NA,17.92,1550,21.4,Cai et al. 2009,Tropical rainforest,101.7666667,21.9,
bauhinia yunnanensis,Liana,8.67,NA,16.18,1550,21.4,Cai et al. 2009,Tropical rainforest,101.7666667,21.9,
byttneria aspera,Liana,11.95,NA,21.74,1550,21.4,Cai et al. 2009,Tropical rainforest,101.7666667,21.9,
carallia lanceaefolia,Tree,6.58,NA,9.88,1550,21.4,Cai et al. 2009,Tropical rainforest,101.7666667,21.9,
castanopsis indica,Tree,11.34,NA,10.47,1550,21.4,Cai et al. 2009,Tropical rainforest,101.7666667,21.9,
celastrus paniculatus,Liana,11.13,NA,10.8,1550,21.4,Cai et al. 2009,Tropical rainforest,101.7666667,21.9,
combretum latifolium,Tree,12.12,NA,7.43,1550,21.4,Cai et al. 2009,Tropical rainforest,101.7666667,21.9,
ficus auriculata,Tree,7.89,NA,13.11,1550,21.4,Cai et al. 2009,Tropical rainforest,101.7666667,21.9,
ficus callosa,Tree,17.5,NA,9.61,1550,21.4,Cai et al. 2009,Tropical rainforest,101.7666667,21.9,
ficus cyrtophylla,Tree,9.69,NA,19.92,1550,21.4,Cai et al. 2009,Tropical rainforest,101.7666667,21.9,
ficus hirta,Tree,11.88,NA,11.9,1550,21.4,Cai et al. 2009,Tropical rainforest,101.7666667,21.9,
ficus subulata,Liana,7.72,NA,14.56,1550,21.4,Cai et al. 2009,Tropical rainforest,101.7666667,21.9,
ficus superba,Tree,10.32,NA,12.27,1550,21.4,Cai et al. 2009,Tropical rainforest,101.7666667,21.9,
fissistigma polyanthoides,Liana,11.45,NA,14.33,1550,21.4,Cai et al. 2009,Tropical rainforest,101.7666667,21.9,
fissistigma polyanthum,Liana,10.4,NA,17.89,1550,21.4,Cai et al. 2009,Tropical rainforest,101.7666667,21.9,
gnetum parvifolium,Liana,10.23,NA,13.76,1550,21.4,Cai et al. 2009,Tropical rainforest,101.7666667,21.9,
leea crispa,Tree,7.76,NA,8.11,1550,21.4,Cai et al. 2009,Tropical rainforest,101.7666667,21.9,
lepisanthes senegalensis,Tree,6.05,NA,16.34,1550,21.4,Cai et al. 2009,Tropical rainforest,101.7666667,21.9,
litsea panamonja,Tree,9.58,NA,10.81,1550,21.4,Cai et al. 2009,Tropical rainforest,101.7666667,21.9,
lodes covalis,Liana,9.17,NA,12.63,1550,21.4,Cai et al. 2009,Tropical rainforest,101.7666667,21.9,
mayodendron igneum,Tree,8.08,NA,12.72,1550,21.4,Cai et al. 2009,Tropical rainforest,101.7666667,21.9,
