Species,Type,Tree,Leaf,T_target,Tleaf,R_area,R_mass,Q10,R25_area,R25_mass,SLA
ARIC,liana,1,1,20,20.3,0.478,7.84,2.53,0.74,12.13,16.4
ARIC,liana,1,1,23,22.9,0.595,9.76,2.53,0.72,11.86,16.4
ARIC,liana,1,1,26,26.4,0.947,15.53,2.53,0.83,13.63,16.4
ARIC,liana,1,1,29,28.8,1.172,19.22,2.53,0.82,13.5,16.4
ARIC,liana,1,1,32,32.3,1.37,22.48,2.53,0.7,11.4,16.4
ARIC,liana,2,2,20,20.5,0.676,14.51,2.27,0.98,20.97,21.47
ARIC,liana,2,2,23,23,0.923,19.83,2.27,1.09,23.35,21.47
ARIC,liana,2,2,26,25.6,1.133,24.33,2.27,1.08,23.17,21.47
ARIC,liana,2,2,29,29.3,1.49,31.99,2.27,1.05,22.51,21.47
ARIC,liana,2,2,32,32,1.776,38.12,2.27,1,21.5,21.47
ARIC,liana,3,3,20,20.3,0.566,7.35,2.36,0.85,10.99,12.98
ARIC,liana,3,3,23,23.3,0.858,11.14,2.36,0.99,12.88,12.98
ARIC,liana,3,3,26,25.5,1.008,13.09,2.36,0.97,12.54,12.98
ARIC,liana,3,3,29,28.5,1.3,16.88,2.36,0.96,12.5,12.98
ARIC,liana,3,3,32,31.8,1.548,20.09,2.36,0.86,11.22,12.98
ARRP,liana,1,1,20,20.3,0.538,9.06,2.29,0.79,13.36,16.84
ARRP,liana,1,1,23,22.7,0.716,12.05,2.29,0.87,14.58,16.84
ARRP,liana,1,1,26,25.5,0.954,16.07,2.29,0.92,15.42,16.84
ARRP,liana,1,1,29,29.3,1.209,20.36,2.29,0.85,14.26,16.84
ARRP,liana,1,1,32,32,1.448,24.38,2.29,0.81,13.65,16.84
ARRP,liana,1,2,20,20.3,0.544,8.76,2.11,0.77,12.45,16.08
ARRP,liana,1,2,20,20.4,0.504,8.1,2.11,0.71,11.43,16.08
ARRP,liana,1,2,23,23.2,0.819,13.17,2.11,0.94,15.07,16.08
ARRP,liana,1,2,26,26.1,0.97,15.6,2.11,0.89,14.37,16.08
ARRP,liana,1,2,29,29.1,1.142,18.37,2.11,0.84,13.51,16.08
ARRP,liana,1,2,32,31.9,1.371,22.06,2.11,0.82,13.16,16.08
ARRP,liana,2,3,20,20.4,0.886,13.56,1.89,1.19,18.18,15.3
ARRP,liana,2,3,23,22.6,1.054,16.13,1.89,1.23,18.8,15.3
ARRP,liana,2,3,26,25.7,1.343,20.55,1.89,1.28,19.65,15.3
ARRP,liana,2,3,29,28.7,1.619,24.78,1.89,1.28,19.57,15.3
ARRP,liana,2,3,32,32.3,1.872,28.65,1.89,1.18,17.98,15.3
ARRP,liana,2,4,20,20.3,0.632,8.94,2.29,0.93,13.21,14.15
ARRP,liana,2,4,23,22.9,1.001,14.16,2.29,1.19,16.86,14.15
ARRP,liana,2,4,26,25.6,1.259,17.82,2.29,1.2,16.95,14.15
ARRP,liana,2,4,29,28.9,1.494,21.14,2.29,1.08,15.29,14.15
ARRP,liana,2,4,32,32,1.781,25.2,2.29,1,14.1,14.15
BONT,liana,1,1,20,20.5,0.437,6.99,2.76,0.69,11.03,15.99
BONT,liana,1,1,22,22.1,0.515,8.23,2.76,0.69,11.05,15.99
BONT,liana,1,1,24,23.8,0.636,10.17,2.76,0.72,11.49,15.99
BONT,liana,1,1,26,25.6,0.772,12.35,2.76,0.73,11.62,15.99
BONT,liana,1,1,28,27.7,1.01,16.15,2.76,0.77,12.28,15.99
BONT,liana,1,1,30,30.5,1.185,18.95,2.76,0.68,10.84,15.99
BONT,liana,1,1,32,31.7,1.365,21.82,2.76,0.69,11.05,15.99
BONT,liana,1,2,20,20.3,0.354,4.82,3.53,0.64,8.73,13.61
BONT,liana,1,2,22,21.9,0.418,5.69,3.53,0.62,8.42,13.61
BONT,liana,1,2,24,23.7,0.592,8.06,3.53,0.7,9.5,13.61
BONT,liana,1,2,26,25.8,0.761,10.36,3.53,0.69,9.36,13.61
BONT,liana,1,2,28,27.5,1.045,14.23,3.53,0.76,10.38,13.61
BONT,liana,1,2,30,30.4,1.318,17.94,3.53,0.67,9.08,13.61
BONT,liana,1,2,32,32.1,1.475,20.08,3.53,0.6,8.2,13.61
BONT,liana,1,3,20,20.1,0.437,7.39,2.82,0.73,12.27,16.92
BONT,liana,1,3,22,22.1,0.464,7.85,2.82,0.63,10.6,16.92
BONT,liana,1,3,24,23.7,0.618,10.45,2.82,0.71,11.95,16.92
BONT,liana,1,3,26,25.8,0.771,13.04,2.82,0.71,12.01,16.92
BONT,liana,1,3,28,27.9,0.964,16.3,2.82,0.71,12.08,16.92
BONT,liana,1,3,30,29.9,1.212,20.5,2.82,0.73,12.34,16.92
BONT,liana,1,3,32,32.2,1.385,23.42,2.82,0.66,11.12,16.92
BONT,liana,1,4,20,20.3,0.323,4.44,3.39,0.63,7.99,12.77
BONT,liana,1,4,22,21.9,0.368,4.7,3.39,0.54,6.86,12.77
BONT,liana,1,4,24,23.8,0.557,7.11,3.39,0.64,8.23,12.77
BONT,liana,1,4,26,26,0.771,9.84,3.39,0.68,8.71,12.77
BONT,liana,1,4,28,27.6,0.955,12.19,3.39,0.69,8.88,12.77
BONT,liana,1,4,30,30.5,1.099,14.03,3.39,0.56,7.17,12.77
BONT,liana,1,4,32,31.8,1.377,17.59,3.39,0.6,7.67,12.77
BONT,liana,1,5,20,20.3,0.448,6.09,2.51,0.69,9.39,13.6
BONT,liana,1,5,22,21.9,0.51,6.94,2.51,0.68,9.23,13.6
BONT,liana,1,5,24,23.6,0.593,8.06,2.51,0.67,9.17,13.6
BONT,liana,1,5,26,25.6,0.745,10.13,2.51,0.7,9.58,13.6
BONT,liana,1,5,28,28.2,0.91,12.38,2.51,0.68,9.22,13.6
