Observation,CurveID,Site Name,canopy/ground,Species,Family,Order,Clade,Growth form,LimitState,Amax,Vcmax25,Jmax25,tpu25,numrubisco,numrubp,numtpu,LMA,Nmass,Cmass,Pmass,wood density,density source
1,"Cecilia DILO1, 22Jan,1030,NUT",PNM,ground,Dieffenbachia longispatha,Araceae,Alismatales,monocots,perennial herb,,,,,,,,,26.26,37.64,399.6,2.2,,
2,no2-2013jan22cecilia2.csv,PNM,ground,Dendropanax arboreus,Araliaceae,Apiales,asterids,tree,RubiscoRuBpTpu,10.08,39.21,44,2.95,5,7,4,40.72,21.9,460.3,1.3,0.411,Wright et al.
3,no3-2013jan22brick1.csv,PNM,canopy,Ficus insipida,Moraceae,Rosales,rosids,tree,,,,,,,,,123.01,26,389.6,1.64,0.336,Wright et al.
4,no4-2013jan22agnes1.csv,PNM,canopy,Castilla elastica,Moraceae,Rosales,rosids,tree,RubiscoRuBpTpu,18.53,,,4.73,,,2,84.92,24.9,421.8,1.61,0.337,Chave et al. 
5,"Dorothy, FIIN 1, 10:45",PNM,canopy,Ficus insipida,Moraceae,Rosales,rosids,tree,,,,,,,,,128.21,20.83,381.1,1.35,0.377,Chave et al. 
6,nonut-2013jan22agnes.csv,PNM,canopy,Ficus insipida,Moraceae,Rosales,rosids,tree,,,,,,,,,116.62,29.43,393.7,1.73,0.377,
7,no7-2013jan22brick2.csv,PNM,canopy,Castilla elastica,Moraceae,Rosales,rosids,tree,RubiscoTpu,13.08,45.34,,5.08,8,0,5,75.93,30.1,427.3,1.88,0.337,Wright et al.
8,no8-13jan22cecilia1.csv,PNM,ground,Capparis cynophallophora,Capparaceae,Brassicales,rosids,tree,,,,,,,,,46.35,45.2,412.2,1.09,0.614,Wright et al.
11,no11-2013jan23cecilia1_3of6.csv,PNM,canopy,Posoqueria latifolia,Rubiaceae,Gentianales,asterids,tree,RubiscoRuBp,13.57,39.91,62.06,4.38,9,5,0,82.79,16.6,431.6,0.82,0.641,Wright et al.
12,no12-2013jan23cecilia1_4of6.csv,PNM,canopy,Connarus williamsii,Connaraceae,Oxalidales,rosids,tree,RuBpTpu,8.55,,54.95,3.42,0,12,5,69.66,20,467.9,0.83,,
