Date,DOY,Site,Latitude,Longitude,Soil order,Soil suborder,Form,Maturity,Health status,Species,Family,Rep,Leaf,Time,Tleaf,Photo,Cond,Ci,Trmmol,VpdL,Tair,TBlk,CO2R,CiCa,CO2S,Methods
29-Apr-16,119,FTS,9°16051.7100, 79°58028.2700,Histosol,Saprist,Liana,Mature,Healthy,Adelphia platyrachis,Malpighiaceae,1,100,12.933,36.543,3.499,0.111,310,4.183,3.717,39.049,41.16,390,0.795,383.8,see Slot & Winter 2017. doi: 10.1111/nph.14469
29-Apr-16,119,FTS,9°16051.7100, 79°58028.2700,Histosol,Saprist,Liana,Mature,Healthy,Adelphia platyrachis,Malpighiaceae,1,100,12.945,36.961,2.153,0.128,334.3,4.876,3.778,39.545,41.703,390,0.857,385.1,see Slot & Winter 2017. doi: 10.1111/nph.14469
29-Apr-16,119,FTS,9°16051.7100, 79°58028.2700,Histosol,Saprist,Liana,Mature,Healthy,Adelphia platyrachis,Malpighiaceae,1,100,12.97,36.068,5.286,0.135,296.8,4.749,3.485,39.985,42.009,390.1,0.761,384.4,see Slot & Winter 2017. doi: 10.1111/nph.14469
29-Apr-16,119,FTS,9°16051.7100, 79°58028.2700,Histosol,Saprist,Liana,Mature,Healthy,Adelphia platyrachis,Malpighiaceae,1,100,12.926,36.474,3.627,0.071,279.4,2.81,3.852,38.814,40.686,390.1,0.716,381.6,see Slot & Winter 2017. doi: 10.1111/nph.14469
29-Apr-16,119,FTS,9°16051.7100, 79°58028.2700,Histosol,Saprist,Liana,Mature,Healthy,Adelphia platyrachis,Malpighiaceae,1,100,12.964,37.336,4.154,0.066,258.8,2.821,4.141,39.972,42.024,390.1,0.663,383.9,see Slot & Winter 2017. doi: 10.1111/nph.14469
29-Apr-16,119,FTS,9°16051.7100, 79°58028.2700,Histosol,Saprist,Liana,Mature,Healthy,Adelphia platyrachis,Malpighiaceae,1,100,12.903,36.858,4.137,0.056,243.1,2.34,4.033,38.72,40.061,390.4,0.623,384.3,see Slot & Winter 2017. doi: 10.1111/nph.14469
29-Apr-16,119,FTS,9°16051.7100, 79°58028.2700,Histosol,Saprist,Liana,Mature,Healthy,Adelphia platyrachis,Malpighiaceae,1,100,12.913,37.01,4.19,0.058,245.6,2.45,4.074,38.717,40.055,390.5,0.629,386,see Slot & Winter 2017. doi: 10.1111/nph.14469
29-Apr-16,119,FTS,9°16051.7100, 79°58028.2700,Histosol,Saprist,Liana,Mature,Healthy,Adelphia platyrachis,Malpighiaceae,1,100,13.009,37.053,2.195,0.098,326,3.921,3.902,40.139,42.01,390.5,0.835,384.3,see Slot & Winter 2017. doi: 10.1111/nph.14469
29-Apr-16,119,FTS,9°16051.7100, 79°58028.2700,Histosol,Saprist,Liana,Mature,Healthy,Adelphia platyrachis,Malpighiaceae,1,100,12.984,37.428,6.011,0.085,244.5,3.57,4.081,40.1,42.011,390.5,0.626,381.7,see Slot & Winter 2017. doi: 10.1111/nph.14469
29-Apr-16,119,FTS,9°16051.7100, 79°58028.2700,Histosol,Saprist,Liana,Mature,Healthy,Adelphia platyrachis,Malpighiaceae,1,100,13.016,37.678,4.612,0.096,280.9,4.02,4.106,40.099,42.022,390.5,0.719,383.1,see Slot & Winter 2017. doi: 10.1111/nph.14469
29-Apr-16,119,FTS,9°16051.7100, 79°58028.2700,Histosol,Saprist,Liana,Mature,Healthy,Adelphia platyrachis,Malpighiaceae,1,100,12.889,35.839,4.317,0.112,299.8,3.976,3.5,38.868,40.058,390.6,0.768,383.6,see Slot & Winter 2017. doi: 10.1111/nph.14469
29-Apr-16,119,FTS,9°16051.7100, 79°58028.2700,Histosol,Saprist,Liana,Mature,Healthy,Adelphia platyrachis,Malpighiaceae,1,100,12.243,35.257,3.305,0.081,299.6,2.746,3.314,35.671,36.156,390.7,0.767,385.4,see Slot & Winter 2017. doi: 10.1111/nph.14469
