author,year,title,journal,vol,page,url,doi
Sperry et al.,2007,Hydraulic consequences of vessel evolution in angiosperms,International Journal of Plant Sciences,168,1127-1139,https://www.jstor.org/stable/10.1086/520726,10.1086/520726
van der Sande et al.,2014,Are lianas more drought-tolerant than trees? A test for the role of hydraulic architecture and other stem and leaf traits,Oecologia,172,961-972,https://link.springer.com/article/10.1007/s00442-012-2563-x,10.1007/s00442-012-2563-x
De Guzman et al.,2016,Trade-offs between water transport capacity and drought resistance in neotropical canopy liana and tree species,Tree Physiology,,,https://pubmed.ncbi.nlm.nih.gov/27672189/,10.1093/treephys/tpw086
Gartner et al.,1990,Water Transport Properties of Vine and Tree Stems in a Tropical Deciduous Forest,American Journal of Botany,77,742-749,https://www.jstor.org/stable/2444366,10.2307/2444366
Johnson et al.,2013,Contrasting hydraulic strategies in two tropical lianas and their host trees,American Journal of Botany,100,374-383,https://www.jstor.org/stable/23433134,10.3732/ajb.1200590
Zhu et al.,2017,Different hydraulic traits of woody plants from tropical forests with contrasting soil water availability,Tree Physiology,37,1469-1477,https://academic.oup.com/treephys/article/37/11/1469/3979163,10.1093/treephys/tpx094
Werden et al.,2017,Tropical dry forest trees and lianas differ in leaf economic spectrum traits but have overlapping water-use strategies,Tree Physiology,,,https://pubmed.ncbi.nlm.nih.gov/29087514/,10.1093/treephys/tpx135
Chen et al.,2017,Physiological regulation and efficient xylem water transport regulate diurnal water and carbon balances of tropical lianas,Functional Ecology,31,306-317,https://besjournals.onlinelibrary.wiley.com/doi/10.1111/1365-2435.12724,10.1111/1365-2435.12724
Feild and Balun,2008,Xylem hydraulic and photosynthetic function of Gnetum (Gnetales) species from Papua New Guinea,New Phytologist,177,665-675,"https://nph.onlinelibrary.wiley.com/doi/10.1111/j.1469-8137.2007.02306.x#:~:text=Gnetum%20(Gnetales)%20species%20are%20suggested,with%20all%20other%20extant%20gymnosperms.",10.1111/j.1469-8137.2007.02306.x
Zhu and Cao,2009,Hydraulic properties and photosynthetic rates in cooccurring lianas and trees in a seasonal tropical rainforest in southwestern China,Plant Ecology,204,295-304,https://link.springer.com/article/10.1007/s11258-009-9592-5,10.1007/s11258-009-9592-5
Gu et al.,2021,Photosynthetic parameters and nutrient content of trees at the Panama crane sites,NGEE Tropics Data Collection,,,https://ngt-data.lbl.gov/dois/NGT0004/,10.15486/NGT/1255260
Norby et al.,2016,"Informing models through empirical relationships between foliar phosphorus, nitrogen and photosynthesis across diverse woody species in tropical forests of Panama",New Phytologist,215,1425-1437,https://nph.onlinelibrary.wiley.com/doi/10.1111/nph.14319,10.1111/nph.14319
Slot and Winter,2017,In situ temperature response of photosynthesis of 42 tree and liana species in the canopy of two Panamanian lowland tropical forests with contrasting rainfall regimes,New Phytologist,214,1103-1117,https://nph.onlinelibrary.wiley.com/doi/full/10.1111/nph.14469,10.1111/nph.14469
Cai et al.,2009,Seasonal differences in leaf-level physiology give lianas a competitive advantage over trees in a tropical seasonal forest,Oecologia,161,25-33,https://link.springer.com/article/10.1007/s00442-009-1355-4,10.1007/s00442-009-1355-4
Avalos et al.,2007,Colonization Strategies of Two Liana Species in a Tropical Dry Forest Canopy,Biotropica,39,393-399,https://onlinelibrary.wiley.com/doi/10.1111/j.1744-7429.2007.00265.x,10.1111/j.1744-7429.2007.00265.x
Brenes-Arguedas et al.,2013,Plant traits in relation to the performance and distribution of woody species in wet and dry tropical forest types in Panama,Functional Ecology,27,392-402,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.12036,10.1111/1365-2435.12036
Bucci et al.,2004,Functional convergence in hydraulic architecture and water relations of tropical savanna trees: from leaf to whole plant,Tree Physiology,24,891-899,https://academic.oup.com/treephys/article/24/8/891/1670327,10.1093/treephys/24.8.891
Bucci et al.,2006,Nutrient availability constrains the hydraulic architecture and water relations of savannah trees,"Plant, Cell & Environment",29,2153-2167,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1365-3040.2006.01591.x,10.1111/j.1365-3040.2006.01591.x
Chen et al.,2015,Water-use advantage for lianas over trees in tropical seasonal forests,New Phytologist,205,128-136,https://nph.onlinelibrary.wiley.com/doi/full/10.1111/nph.13036,10.1111/nph.13036
Chen et al.,2014,Different biomechanical design and ecophysiological strategies in juveniles of two liana species with contrasting growth habit,American Journal of Botany,101,925-934,https://pubmed.ncbi.nlm.nih.gov/24907257/,10.3732/ajb.1300429
Santiago and Wright,2007,Leaf functional traits of tropical forest plants in relation to growth form,Functional Ecology,21,19-27,https://besjournals.onlinelibrary.wiley.com/doi/10.1111/j.1365-2435.2006.01218.x,10.1111/j.1365-2435.2006.01218.x
Van der Sande et al.,2013,Are lianas more drought-tolerant than trees? A test for the role of hydraulic architecture and other stem and leaf traits,Oecologia,172,961-972,https://link.springer.com/article/10.1007/s00442-012-2563-x,10.1007/s00442-012-2563-x
Feild et al.,2009,Ancestral xerophobia: a hypothesis on the whole plant ecophysiology of early angiosperms,Geobiology,7,,https://pubmed.ncbi.nlm.nih.gov/19260972/,10.1111/j.1472-4669.2009.00189.x
Feild and Isnard,2013,Climbing Habit and Ecophysiology of Schisandra glabra (Schisandraceae): Implications for the Early Evolution of Angiosperm Lianescence,International Journal of Plant Sciences,174,,https://www.journals.uchicago.edu/doi/abs/10.1086/671808,10.1086/671808
