Species,Type,Tree,Leaf,Q10,SLA
ARIC,liana,1,1,2.53,16.4
ARIC,liana,1,1,2.53,16.4
ARIC,liana,1,1,2.53,16.4
ARIC,liana,1,1,2.53,16.4
ARIC,liana,1,1,2.53,16.4
ARIC,liana,2,2,2.27,21.47
ARIC,liana,2,2,2.27,21.47
ARIC,liana,2,2,2.27,21.47
ARIC,liana,2,2,2.27,21.47
ARIC,liana,2,2,2.27,21.47
ARIC,liana,3,3,2.36,12.98
ARIC,liana,3,3,2.36,12.98
ARIC,liana,3,3,2.36,12.98
ARIC,liana,3,3,2.36,12.98
ARIC,liana,3,3,2.36,12.98
AMPP,liana,1,1,2.29,16.84
AMPP,liana,1,1,2.29,16.84
AMPP,liana,1,1,2.29,16.84
AMPP,liana,1,1,2.29,16.84
AMPP,liana,1,1,2.29,16.84
AMPP,liana,1,2,2.11,16.08
AMPP,liana,1,2,2.11,16.08
AMPP,liana,1,2,2.11,16.08
AMPP,liana,1,2,2.11,16.08
AMPP,liana,1,2,2.11,16.08
AMPP,liana,1,2,2.11,16.08
AMPP,liana,2,3,1.89,15.3
AMPP,liana,2,3,1.89,15.3
AMPP,liana,2,3,1.89,15.3
AMPP,liana,2,3,1.89,15.3
AMPP,liana,2,3,1.89,15.3
AMPP,liana,2,4,2.29,14.15
AMPP,liana,2,4,2.29,14.15
AMPP,liana,2,4,2.29,14.15
AMPP,liana,2,4,2.29,14.15
AMPP,liana,2,4,2.29,14.15
BONT,liana,1,1,2.76,15.99
BONT,liana,1,1,2.76,15.99
BONT,liana,1,1,2.76,15.99
BONT,liana,1,1,2.76,15.99
BONT,liana,1,1,2.76,15.99
BONT,liana,1,1,2.76,15.99
BONT,liana,1,1,2.76,15.99
BONT,liana,1,2,3.53,13.61
BONT,liana,1,2,3.53,13.61
BONT,liana,1,2,3.53,13.61
BONT,liana,1,2,3.53,13.61
BONT,liana,1,2,3.53,13.61
BONT,liana,1,2,3.53,13.61
BONT,liana,1,2,3.53,13.61
BONT,liana,1,3,2.82,16.92
BONT,liana,1,3,2.82,16.92
BONT,liana,1,3,2.82,16.92
BONT,liana,1,3,2.82,16.92
BONT,liana,1,3,2.82,16.92
BONT,liana,1,3,2.82,16.92
BONT,liana,1,3,2.82,16.92
BONT,liana,1,4,3.39,12.77
BONT,liana,1,4,3.39,12.77
BONT,liana,1,4,3.39,12.77
BONT,liana,1,4,3.39,12.77
BONT,liana,1,4,3.39,12.77
BONT,liana,1,4,3.39,12.77
BONT,liana,1,4,3.39,12.77
BONT,liana,1,5,2.51,13.6
BONT,liana,1,5,2.51,13.6
BONT,liana,1,5,2.51,13.6
BONT,liana,1,5,2.51,13.6
BONT,liana,1,5,2.51,13.6
BONT,liana,1,5,2.51,13.6
BONT,liana,1,5,2.51,13.6
BONT,liana,3,6,2.88,13.168
BONT,liana,3,6,2.88,13.168
BONT,liana,3,6,2.88,13.168
BONT,liana,3,6,2.88,13.168
BONT,liana,3,6,2.88,13.168
BONT,liana,3,7,2.58,10.185
BONT,liana,3,7,2.58,10.185
BONT,liana,3,7,2.58,10.185
BONT,liana,3,7,2.58,10.185
BONT,liana,3,7,2.58,10.185
CISE,liana,1,1,2.57,17.36
CISE,liana,1,1,2.57,17.36
CISE,liana,1,1,2.57,17.36
CISE,liana,1,1,2.57,17.36
CISE,liana,1,1,2.57,17.36
CISE,liana,1,4,2.78,15.552
CISE,liana,1,4,2.78,15.552
CISE,liana,1,4,2.78,15.552
CISE,liana,1,4,2.78,15.552
CISE,liana,1,4,2.78,15.552
CISE,liana,1,5,2.42,17.036
CISE,liana,1,5,2.42,17.036
CISE,liana,1,5,2.42,17.036
CISE,liana,1,5,2.42,17.036
CISE,liana,1,5,2.42,17.036
CISE,liana,2,2,3.08,27.73
CISE,liana,2,2,3.08,27.73
CISE,liana,2,2,3.08,27.73
CISE,liana,2,2,3.08,27.73
CISE,liana,2,2,3.08,27.73
CISE,liana,2,2,3.08,27.73
CISE,liana,2,3,2.46,18.86
CISE,liana,2,3,2.46,18.86
CISE,liana,2,3,2.46,18.86
CISE,liana,2,3,2.46,18.86
CISE,liana,2,3,2.46,18.86
COMF,liana,1,1,2.47,18.08
COMF,liana,1,1,2.47,18.08
COMF,liana,1,1,2.47,18.08
COMF,liana,1,1,2.47,18.08
COMF,liana,1,1,2.47,18.08
COMF,liana,1,2,2.46,15.71
COMF,liana,1,2,2.46,15.71
COMF,liana,1,2,2.46,15.71
COMF,liana,1,2,2.46,15.71
COMF,liana,1,2,2.46,15.71
COMF,liana,2,3,2.9,14.55
COMF,liana,2,3,2.9,14.55
COMF,liana,2,3,2.9,14.55
COMF,liana,2,3,2.9,14.55
COMF,liana,2,3,2.9,14.55
COMF,liana,2,4,3.38,16.263
COMF,liana,2,4,3.38,16.263
COMF,liana,2,4,3.38,16.263
COMF,liana,2,4,3.38,16.263
COMF,liana,2,4,3.38,16.263
COMF,liana,2,5,2.55,10.245
